unique_id,name,edition,card_number,race,type,cost,power,health,loyalty,power_icons,traits,rules_text,illustrator,card_quantity
10013,'Idden Boy,Days of Blood,13,Orc,Unit,2,1,2,1,1,Warrior,"Hit Points: 2 Warrior. Orc only. Ambush 1. Action: When this unit ambushes, it gains [Power][Power] until the end of the phase. I'z tired o' hidin'! It'z time ta bash 'em!",Des Manley,3
01017,A Glorious Death,Core Set,17,Dwarf,Quest,0,,,2,,,Quest. Action: Sacrifice the unit on this quest to destroy up to two target attacking units. Use this ability only if A Glorious Death has 3 or more resource tokens on it. Quest. Forced: Place 1 resource token on this card at the beginning of your turn if a unit is questing here.,Adrian Smith,2
04098,A Noble Quest,The Fourth Waystone,98,Neutral,Tactic,0,,,0,,,Order only. Action: Put 1 resource token on a quest if a unit is questing there. Guided by a divine hand.,David Horne,3
08118,A Promise of War,The Imperial Throne,118,Neutral,Tactic,2,,,0,,,"Play only if you control a Capital Center or a legend. Action: Search your deck for a unit, reveal it, and add it to your hand. Then, shuffle your deck.",Even Mehl Amundsen,3
05030,A Slave For Every Occasion,March of the Damned,30,Dark Elf,Tactic,4,,,3,,,Play during your turn. Action: Put target non-Hero unit in your opponent's discard pile into play under your control (you choose which zone the unit enters). This one will be most useful.,Mike Capprotti,3
02019,Abandoned Mine,The Skavenblight Threat,19,Neutral,Support,4,2,,0,2,Building,"Building. Kingdom. Action: At the beginning of your turn, you may return one of your developments to its owner's hand.",Caravan Studio,
12029,Abyssal Terror,Hidden Kingdoms,29,Neutral,Unit,6,,4,,,"Undead, Creature",- Undead only. Battlefield only. Necromancy. This unit gains [P] for each unit in your discard pile.,,
04119,Advanced Engineering,Bleeding Sun,119,Neutral,Support,2,1,,0,1,Siege,"Siege. Action: At the beginning of your turn, look at the top two cards of your deck. Place one of those cards on the top of your deck and the other card on the bottom of your deck.",Dimitri Bielak,3
09033,Agent of the Malekith,Fragments of Power,33,Dark Elf,Unit,1,,2,2,0,Rogue,"Hit Points: 2 Rogue. Action: When this unit enters or leaves play, remove 1 resource token from target card.",Jen Zee,3
06103,Aid from the Depths,Fiery Dawn,103,Dwarf,Quest,0,,,2,,,"Action: When you play a development from your hand, put a resource token on this card if a unit is questing here. Action: Discard 2 resources on this card to heal 2 damage from your capital.",Games Workshop Ltd,3
09064,Ale Hall,Vessel of the Winds,64,Dwarf,Support,2,1,,2,1,Building,"Building. Action: Discard a quest or Grudge support card from your hand to have this card gain [Power] until the end of the turn. When the ale is flowing, the tales start growing.",Jonas Springborg,3
